StaffID	nric	name	LicenseNumber	DateCertified
62747	S4900166W	Han Wen	8586124	1998-07-02
53522	S7316474F	He Xinyi	3715524	1998-08-06
86881	S3750281G	Qiao Yimu	5342838	1999-03-23
54324	S3935841U	Qian Yun	9010585	1999-04-22
49112	S8247080I	Yuan Ping	7750780	1999-07-09
67011	S7670378S	Tuhfa bin Lubaaba	5265130	1993-07-16
75367	S7627286C	Majdiyya bin Haafiza	2962705	1994-02-23
39048	S7856997A	Saamyya bin Shakoora	1267125	1995-05-11
94821	S7675643N	Sabeeha bin Khaleela	3136346	1995-08-29
38206	S7726146I	Hamaama bin Amatullah	1768798	1995-09-13
66487	S5317635R	Adi Puteri bin Jaya	3542070	1996-04-28
47110	S4495154C	Puteri bin Masayu	8624076	1996-07-17
67634	S8490464B	Hayati bin Adiputeri	7860832	1996-11-24
52422	S9977611O	Melati bin Esah	9811377	1997-01-02
93711	S3453706X	Kemuning bin Cik	7902130	1997-03-09
23567	S4582175Y	Kovalen E.	7717562	1997-06-25
21113	S7322712O	Jerusan D.	8647304	1997-07-14
11764	S3116409A	Dhanakumar H.	5949620	1997-12-25
52433	S7054247P	Nisminth L.	5240923	1998-04-02
59684	S1325850F	Saayangen K.	9342992	1998-05-25
47880	S8470979F	Varunesh D.	3587503	1998-09-03
73304	S6725603S	Sashreek A.	5819976	1999-02-28
51952	S8169066X	Vijethan G.	9057654	1999-05-06
47123	S4721098E	Vimal Kanna L.	7674963	2000-01-21
65964	S6027180M	Robishan P.	3963767	2000-02-10
72294	S8209298P	Pankaj Bholar	3721440	2001-09-26
28307	S7434983O	Akas Wadhwa	8559231	2002-08-31
54819	S6340124I	Prempal Godara	9812125	2003-09-27
34970	S1885205L	Janam Faqrakh	2154926	2004-04-24
18264	S9581466X	Tarun Palu	6549457	2004-05-09
31925	S6933924N	Anantdev Jurai	9469430	1993-05-04
64777	S9996471M	Gurnam Kallu	4029235	1993-07-23
47094	S4601619I	Kalwindar Ghalo Kanjanarah	8938920	1993-09-29
55258	S1134563K	Shamz Jhakar	9133159	1994-03-10
49751	S6806978Q	Charat Dhanri	2202619	1994-04-17
46244	S5333809E	Deng Zedong	2127894	1995-07-17
38273	S2658565T	Zi Jianhong	3282905	1995-09-05
29011	S2198937F	Cai Bo	4958254	1995-09-25
41843	S1951824V	Wang Fen	4712253	1996-04-01
67754	S6577258Z	Zhan Lingxin	3406035	1996-04-03
10511	S8103836U	Xie Guiying	6659015	1996-04-27
66941	S6296910E	Feng Xinya	7958262	1996-09-13
72258	S4092616I	Xuan Su	8344638	1996-11-09
69691	S4129501G	Lai Qing	5863386	2000-01-31
27016	S7282081Z	Wen An	2560557	2001-05-07
83613	S6881418S	Thet Myo	9116764	2001-07-02
41798	S8068888E	Myint Kaung	4608154	2001-07-10
70613	S8986068H	Myat Khine	6701746	2001-07-27
16843	S5072910Z	Zeya Lin	6536939	2001-12-04
93304	S7978761L	Thura Mg Zaw	9436769	2002-06-06
80672	S6719971F	Arkar Bo Tun	5721951	2002-10-06
10897	S6000208Z	Maung Thiha Naing	8159392	2002-12-31
51677	S5946073N	Zarni Ag Yaza Myint	8914605	2003-03-31
19345	S3701866Q	Soe Thuta Bo Ye	8750350	2003-11-26
71552	S6402522P	Zeya Aung Pyae Htut	7803681	2004-07-17
84984	S5195059C	Sun Xinyue	7078646	1993-01-08
15777	S9792746W	Zhan Zemin	4975901	1993-08-03
43369	S3473559Y	Lei Xinyi	3437149	1994-08-07
15661	S2466606X	Huo Lei	7155075	1994-08-08
62047	S7648564O	Xun Tian	2834028	1995-08-14
55019	S3045246K	Xiang Lingxin	6804822	1995-11-01
77704	S4698469M	Xia Guiying	6206035	1996-04-23
32858	S7612676A	Cai Yu	7590811	1997-04-03
98203	S6875583O	Zhu Guanyu	3324065	1997-05-27
16475	S1772825T	Hao Peng	7707216	1998-10-30
18860	S7594671L	Han Guanyu	4441037	1998-11-22
27006	S3869585R	Xiao Hai	7892493	2000-03-10
70209	S6771714S	Huang Yating	5111908	2000-12-16
80778	S9344551L	Hou Zemin	7274794	2001-12-12
42452	S5923949Z	Xie Xuefeng	9879995	2002-01-20
36465	S2600244D	Xing Yu	4334119	2002-01-25
72641	S8594542F	Hu Delan	1646467	2002-05-23
96635	S9062014X	Sun Mu	1467399	2002-08-20
31417	S3288061J	Xuan De	1785492	2002-09-25
42498	S3788582I	Zhen Yijun	1534625	2003-01-17
31766	S3758561U	Mumtaaza bin Zuhriyaa	4003360	2003-01-22
39893	S7985315E	Nuha bin Safwa	9128888	2003-07-15
15891	S4652998U	Maimoona bin Saalima	1637260	2003-08-30
69728	S7584120U	Khadeeja bin Nawaal	2865130	2004-06-19
89439	S9715534L	Safaaa bin Firdaus	8348507	2004-09-21
64041	S8889648O	Putih bin Sayang	6141983	1993-04-29
68580	S2728689P	Mahura bin Zamrud	9187822	1993-08-04
16074	S7211605Z	Cahaya bin Suriawati	9253449	1994-02-14
80345	S3183431I	Embun bin Putri	7083147	1994-04-16
30648	S7227893K	Dian bin Sri	2959001	1994-06-11
46953	S3171884G	Waris Mader	7538502	1994-06-27
31043	S7935747B	Vikram Anwal	2376587	1994-11-12
36904	S8158305C	Mohandyal Kanda	4307240	1997-04-13
46872	S2336036R	Sukhdev Gandu	8021095	1997-06-07
61114	S1938838B	Laxman Salahah	9489557	1997-11-28
96309	S4273239T	Sameer Khalsa	9239031	1998-07-01
77907	S1332129M	Kulvir Gendas	6394694	1998-09-10
34030	S9516535K	Gulwant Tajar	7590203	1998-10-09
99085	S2961637Y	Dhian Kawari	3354630	1999-04-06
99223	S2731546M	Makhan Salotra	3894226	1999-11-12
29759	S4901269X	Rajanisha R.	6636712	2001-03-05
83433	S7356790M	Yaamini J.	9722695	2001-09-06
41706	S7434942V	Suveatha L.	6104139	2001-12-22
51277	S9769547F	Kavithani R.	5785430	2002-05-14
17626	S7496819M	Arul Nayagi D.	6417446	2002-06-11
58394	S9860747N	Daksha R.	9691912	2002-07-09
36681	S3425554K	Vakini W.	1146044	2002-12-31
91030	S5324127M	Athisaya S.	7531530	2003-04-21
13224	S2388958Q	Byratha B.	1042019	2003-05-20
17557	S6877500G	Deivani V.	7342399	2003-08-31
61234	S6736452A	Joshua Tan	1905334	2001-01-01
62234	S9374536B	Jesse Lim	4234096	2001-01-02
63234	S6374826C	Sarah Lau	3530847	2001-01-03
64234	S2637492D	Peter Lo	2727547	2001-01-04
65234	S8457389E	Abbe Tan	5759467	2001-01-05
66234	S9362348F	Alvin Loo	3411360	2001-01-06
67234	S4352648G	Abigail Li	6470299	2001-01-07
68234	S1272836H	Ariel Yu	2935395	2001-01-08
69234	S8737234I	Ben Tan	1937060	2001-01-09
79145	S2437438J	Brandon Chew	3711742	1998-11-20
79245	S9346234K	Joel Foo	1643011	1998-11-21
79345	S8376437L	Eugene Lim	7547164	1998-11-22
79445	S9374982M	Leonard Lo	4898923	1998-11-23
79545	S7284723N	Bryan Ng	6697062	1998-11-24
79645	S9347623O	Cedric Zhang	2543961	1998-11-25
79745	S2382373P	Aaron Zhang	2925950	1998-11-26
79845	S3894753Q	Amos Liu	1768366	1998-11-27
79945	S8647354R	Alden Chen	5772397	1998-11-28
82315	S5635274Z	Clayton Ng	7598341	1999-07-11
82325	S8346347T	Clifford Chen	4716406	1999-07-12
82335	S8734623U	Damon Zhao	7383612	1999-07-13
82345	S7342364V	Daniel Tang	7314672	1999-07-14
82355	S2378247W	Darell Wu	5538825	1999-07-15
82365	S1737234X	David Huang	3305770	1999-07-16
82375	S3647364Y	Dominic Xu	2015225	1999-07-17
82385	S8378334Z	Elvis Yang	6882525	1999-07-18
82395	S2372643A	Felix Guo	4611615	1999-07-19
91874	S8837543B	Francis Liang	3612213	2002-10-05
92874	S8347823C	Frank Zheng	3314898	2002-10-06
93874	S9732730D	Frank Song	1281344	2002-10-07
94874	S7642423E	Frederick Ma	4932977	2002-10-08
95874	S8364238F	Gabriel Xiao	1607584	2002-10-09
96874	S3687329G	Gavin Cheng	5242174	2002-10-10
97874	S6347263H	George Xu	1868452	2002-10-11
98874	S3828748I	Gilbert Fu	1916504	2002-10-12
99874	S2387493J	Ian Foo	7250255	2002-10-13
63127	S9347836K	Issac Lim	5773532	1997-04-21
63227	S8734823L	Jasper Yuan	3357514	1997-04-22
63327	S9832368M	Jeffery Dong	5790452	1997-04-23
63427	S6523483N	Justin Ow	4000615	1997-04-24
63527	S2389374O	Lucas Chang	1401996	1997-04-25
63627	S1984363P	Mark Wu	2329435	1997-04-26
63727	S9823624Q	Martin Lai	2818309	1997-04-27
63827	S8758473R	Marvin Chin	2905889	1997-04-28
63927	S9842347Y	Matthew Lai	7628103	1997-04-29
89162	S2837284T	Melvin Wu	6587446	1996-06-09
89262	S9374238U	Owen Ang	1809557	1996-06-10
89362	S6348236V	Oscar Wang	7621339	1996-06-11
89462	S9873423W	Paul Tay	1303746	1996-06-12
89562	S6883409X	Russell Yip	5919258	1996-06-13
12345	S4233445M	Qiao Chaoxiang	3456722	1999-11-12
22345	S1223567M	Yu Lei	423421	1999-11-30
32345	S2397641M	Cheng Lei	2040404	1999-12-17
42345	S5423987M	Da Wei	3276575	1993-11-15
52345	S1222334M	Zhen Xie Ming	236565	1994-11-16
11789	S2336787M	Zhen Delun	279765	1995-11-17
21789	S1233001M	Chong Lin	3977564	1996-11-18
31789	S3454221M	Chong Kun	490876	1997-11-19
41789	S4343551M	Chung Chuanli	4665433	1998-11-20
51789	S1299098O	Ho Hong Lei	4086655	2000-11-21
21321	S1244897O	Huang Fu	3896436	1990-11-22
32432	S1008087O	Huang he	367899	1991-11-23
43543	S1089976O	Chen Guo Wei	3119876	1992-11-24
54654	S1876590O	Xia Hai Long	3474324	1989-12-25
12321	S3234556O	Guang Li	2965477	1994-01-02
54321	S4365778O	Liang Zhi Wei	2987654	1995-02-28
12121	S5669876O	Liang Liwei	1098766	1985-09-18
23232	S1347789X	Liang Lei	1478654	1994-06-27
43434	S1456678X	Liang Jin Hai	1965436	1998-07-14
54545	S1566789X	Jin Jun Jie	4222087	2001-03-23
43431	S1900115X	Jin Jianyu	2087655	2006-07-24
12389	S1008908X	Jin Ming Hua	2647896	2008-05-13
12789	S1567908X	Qi Renshu	3368999	2002-07-20
12387	S3451253X	Qi Ling	3590976	2009-08-15
15498	S3338965X	Qi An Zhe	224456	2012-03-22
10654	S4456231X	Qi Tian Long	543787	2003-03-17
39576	S2234567Z	Peng Fei	5773222	2010-10-18
59632	S3234500Z	Qiang Minzhe	5882134	2001-12-19
10987	S4509887Z	Qiang Quan	5234566	2010-12-28
45678	S1009890Z	Peng Minsheng	5732344	2011-11-11
45327	S1334009Z	Tao Shirong	5234213	2000-12-12
34522	S4456910Z	Shanyuan	4512213	2003-12-13
33333	S3232567Z	Ding Fei	3657454	2004-12-14
38760	S1234099Z	Ding Yuan	331256	2005-12-15
20093	S2343242Z	Ding Tengfei	312366	2007-09-06
20087	S3967490Z	Ding Tung	5777733	2009-02-13
30909	S2264840Z	Wang Siyu	5247312	2011-07-14
34532	S5482746D	Wang Shan	5864122	2000-12-22
34679	S4262822D	Wang Rongshu	5224355	2011-11-25
12308	S4352819D	Wang Tengfei	3029292	2004-04-14
55541	S2738495D	Wang Tingzhe	4012313	2010-05-15
54378	S5463627D	Xing Xueqin	5009933	2001-11-12
57345	S5002921D	Xin Wing	3928364	2000-12-27
55690	S5563831D	Xiang Lingzhe	2039474	2000-12-25
23476	S3348223D	Xiang Guohai	1099388	2000-12-26
33211	S5889100D	Xiang Hai	2000494	2002-03-31
11115	S5243441D	Yang Yongliang	244468	2001-04-23
22225	S3409991D	Yang TianHai	1020339	2002-12-29
22335	S2387011D	Yang Dilei	3598564	2006-12-30
22667	S5128911D	Zhuang Detian	1434455	2008-12-31
